  teamId  teamName    submissionDate              score
--------  ----------  --------------------------  ------
15894848  Team 3      2026-05-22 03:47:47.553000  0.7628
15793832  Team 4      2026-05-22 18:22:43.346000  0.7817
15937184  Team 5      2026-05-27 06:48:25.383000  0.7915
15882579  Team 20     2026-05-19 07:05:50.876000  0.7942
15817285  Team 2      2026-05-22 17:19:58.006000  0.7955
16000203  Team 1      2026-05-26 03:09:07.316000  0.8043
15785353  Baseline 3  2026-04-29 18:20:59.886000  0.8056
15987412  Team 19     2026-05-27 02:26:33.083000  0.8144
16011469  Team 21     2026-05-27 00:12:17.056000  0.8233
15790916  Team 8      2026-05-27 02:55:58.293000  0.8255
15999916  Team 14     2026-05-27 02:56:12.333000  0.8345
15790981  Team 11     2026-05-27 00:06:27.053000  0.8399
15784171  Baseline 2  2026-04-29 16:17:34.266000  0.8623
16023115  Team18      2026-05-26 08:02:59.373000  0.8640
15995615  Team 13     2026-05-24 17:49:01.483000  0.8690
15968204  Team 12     2026-05-20 13:15:02.266000  0.8727
16011604  Team 9      2026-05-27 05:13:54.776000  0.8727
16008599  Team 7      2026-05-18 14:50:55.386000  0.8784
15876533  Team 15     2026-05-24 13:47:04.533000  0.8820
15994766  Team 6      2026-05-16 14:51:44.273000  0.8973
